[2019-01-31 16:07:53.997] [renderer1] [info] no standard startup: not the explorer viewlet
[2019-01-31 16:07:56.354] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.373] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.375] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.376] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.377] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.378] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.379] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.380] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.381] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.383] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.384] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.385] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.386] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.387] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.388] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.389] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.391] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.392] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.394] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.397] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.398] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.399] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.400] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.401] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.402] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.403] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.405] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.406] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.407] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.408] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.410] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
[2019-01-31 16:07:56.424] [renderer1] [warning] Unsupported write (store) access after close (key: ms-python.python)
